ind_variables,p,SSE,R2,adj_R2,Cp,AIC,BIC,PRESS
LSTAT + RM + CRIM,3,68.40173831990451,0.7500051826320904,0.7469931968806698,13.624636401958526,-75.88550796122826,-61.751950006318175,13.116072049754457
LSTAT + RM + INDUS,3,73.77767951086761,0.7420536615562012,0.738945874346035,34.02948006973941,-52.973959112989235,-38.84040115807915,14.945686000028532
LSTAT + RM + TAX,3,71.91052635847852,0.7501875438714016,0.7471777552433463,26.94254090411988,-64.16350593522537,-50.02994798031529,14.434204884462382
LSTAT + RM + NOX,3,74.27809584758808,0.7367820418909075,0.7336107411907979,35.928852990103394,-48.80080625594462,-34.66724830103454,15.166752473230105
LSTAT + RM + AGE,3,75.08842319725102,0.7425894431456181,0.7394881111353244,39.004519613353295,-48.55513050532926,-34.42157255041918,15.371444927372638
LSTAT + RM + PTRATIO,3,72.5851908287882,0.7617946447157733,0.7589247006762043,29.503287488925594,-68.91683819959945,-54.78328024468937,13.812308495273914
LSTAT + RM + RAD,3,72.67720144067768,0.7460952714288545,0.7430361783135395,29.85252162015786,-58.27985204355605,-44.146294088645966,14.852913205610388
LSTAT + RM + DIS,3,74.58456061245266,0.7457722775141921,0.7427092929059294,37.09206616424615,-50.840937355318545,-36.70737940040846,15.36151947326691
LSTAT + RM + B,3,75.43621777496914,0.7437426710819455,0.7406552333841376,40.32460361999563,-56.18181415947197,-42.04825620456189,14.497129349334399
LSTAT + RM + ZN,3,75.11456107574196,0.7406907616261131,0.7375665539348615,39.103728162232414,-47.48809580134031,-33.354537846430226,15.212242112828555
LSTAT + CRIM + INDUS,3,73.00964702825961,0.698956753427628,0.695329726360491,31.114347224585174,-32.95297752337029,-18.819419568460212,13.858035016770083
LSTAT + CRIM + TAX,3,73.26274420560168,0.6965749444960205,0.6929192209357317,32.07499916495664,-30.872647705774682,-16.7390897508646,13.997606325597408
LSTAT + CRIM + NOX,3,73.14608049295411,0.6951333387837095,0.6914602464798989,31.632192085467352,-30.118956004409768,-15.985398049499686,14.092965088831756
LSTAT + CRIM + AGE,3,72.31185954001826,0.6981959454714285,0.6945597520433735,28.465835251494298,-34.4324519703797,-20.29889401546962,14.00667795157437
LSTAT + CRIM + PTRATIO,3,71.0577843873707,0.7240285301226339,0.7207035726542319,23.705885964765343,-53.359152188671146,-39.225594233761065,12.74368878047062
LSTAT + CRIM + RAD,3,72.98646589264614,0.6948769690664964,0.6912007879709121,31.026361245678004,-31.291544964147647,-17.157987009237566,14.06832888906767
LSTAT + CRIM + DIS,3,72.23162944087834,0.6993863766702333,0.6957645257867422,28.161315061959385,-35.20858591005549,-21.07502795514541,13.951641742429102
LSTAT + CRIM + B,3,73.02331913993234,0.6967632924432343,0.6931098381353216,31.16624089145779,-32.023889779006254,-17.890331824096172,13.992754094495403
LSTAT + CRIM + ZN,3,73.16359546207252,0.6968064552352911,0.6931535209610175,31.69867164579216,-31.303252080088953,-17.16969412517887,13.896035979314904
LSTAT + INDUS + TAX,3,77.46494151638363,0.675195956254728,0.6712826545228572,48.02479774754005,-11.938405551088238,2.1951524038218437,15.324624579062737
LSTAT + INDUS + NOX,3,78.17732185314169,0.6732971629748334,0.6693609842154942,50.72869812278674,-9.74233112200426,4.391226832905822,15.740265647592222
LSTAT + INDUS + AGE,3,77.29781046840027,0.6862919554471647,0.6825123404525523,47.39043758901272,-18.87138361517225,-4.737825660262168,15.329602065304602
LSTAT + INDUS + PTRATIO,3,75.08680484137291,0.7055268850353773,0.7019790161803818,38.998377005478915,-32.92879987825694,-18.795241923346858,14.210831581526776
LSTAT + INDUS + RAD,3,77.75512557326768,0.6718620880413302,0.6679086192225511,49.12621610486036,-9.254888507774751,4.87866944713533,15.641908003798637
LSTAT + INDUS + DIS,3,76.50500768326445,0.6926892207512503,0.6889866812422292,44.381286946280454,-22.957056210378482,-8.823498255468401,15.171875141486227
LSTAT + INDUS + B,3,78.28433775380921,0.6779855124119891,0.6741058197904468,51.13488610839158,-13.26245226191395,0.8711056929961316,15.179170524471514
LSTAT + INDUS + ZN,3,78.36021565293447,0.6725725702711982,0.668627661479285,51.42288715127751,-9.129184214163843,5.004373740746239,15.627668566138222
